yaw,pitch,roll
-55.5,0.1,-0.49
-41.18,0.04,-0.48
-26.61,-0.05,-0.39
-11.87,-0.12,-0.29
-3.48,-0.23,-0.25
0.73,-0.19,-0.24
1.22,-0.2,-0.24
1.11,-0.21,-0.24
1.1,-0.21,-0.25
1.11,-0.22,-0.25
1.11,-0.22,-0.24
1.11,-0.23,-0.24
1.11,-0.22,-0.24
1.09,-0.22,-0.23
1.08,-0.21,-0.24
1.06,-0.21,-0.24
1.05,-0.2,-0.24
1.06,-0.21,-0.24
1.06,-0.21,-0.24
1.05,-0.21,-0.24
1.05,-0.21,-0.24
1.06,-0.21,-0.24
1.06,-0.21,-0.24
1.05,-0.21,-0.24
1.05,-0.21,-0.24
1.06,-0.21,-0.24
1.05,-0.21,-0.24
1.06,-0.21,-0.24
1.05,-0.21,-0.24
1.05,-0.21,-0.24
1.05,-0.21,-0.24
1.05,-0.21,-0.24
1.05,-0.21,-0.24
1.06,-0.21,-0.25
1.06,-0.21,-0.25
1.05,-0.21,-0.24
1.05,-0.21,-0.24
1.06,-0.21,-0.24
1.05,-0.21,-0.24
1.06,-0.21,-0.24
1.06,-0.21,-0.24
1.05,-0.21,-0.24
1.06,-0.21,-0.24
1.05,-0.21,-0.24
1.04,-0.14,-0.27
1.12,-0.16,-0.22
1.03,-0.44,-0.29
0.9,-0.47,-0.36
1.04,-0.27,-0.35
1.11,-0.52,-0.31
1.07,-0.42,-0.35
1.18,-0.39,-0.31
1.39,-0.52,-0.36
1.1,-0.45,-0.35
0.83,-0.5,-0.31
0.95,-0.5,-0.36
0.96,-0.5,-0.36
0.96,-0.5,-0.33
1.09,-0.33,-0.26
1.02,-0.35,-0.29
1.83,-0.68,-0.27
0.9,-0.61,-0.29
0.8,-0.59,-0.33
0.77,-0.53,-0.36
0.81,-0.48,-0.36
0.86,-0.51,-0.31
0.98,-0.4,-0.35
1.18,-0.42,-0.37
1.2,-0.35,-0.38
1.07,-0.34,-0.37
1.07,-0.26,-0.38
1.14,-0.11,-0.23
1.1,-0.32,-0.33
1.87,-0.22,-0.36
0.91,-0.2,-0.38
0.81,-0.2,-0.39
0.81,-0.2,-0.42
0.93,-0.23,-0.37
0.96,-0.26,-0.35
1.02,-0.28,-0.36
1.14,-0.28,-0.31
1.16,-0.28,-0.3
1.15,-0.28,-0.29
11.77,-0.34,-0.23
24.81,-0.32,-0.31
38.77,-0.3,-0.43
53.14,-0.34,-0.55
67.79,-0.41,-0.58
82.28,-0.39,-0.62
89.18,-0.37,-0.61
91.83,-0.38,-0.64
91.57,-0.28,-0.51
91.71,-0.35,-0.64
91.24,-0.56,-0.63
91.28,-0.34,-0.67
91.15,-0.42,-0.67
91.05,-0.39,-0.67
91.31,-0.32,-0.75
91.27,-0.44,-0.64
91.33,-0.36,-0.74
91.35,-0.32,-0.63
91.49,-0.41,-0.69
91.29,-0.38,-0.7
91.29,-0.38,-0.69
91.29,-0.36,-0.7
91.31,-0.35,-0.7
91.07,-0.22,-0.62
91.37,-0.3,-0.67
91.32,-0.47,-0.63
91.34,-0.35,-0.59
91.29,-0.51,-0.62
91.3,-0.49,-0.66
91.2,-0.41,-0.65
91.39,-0.56,-0.64
91.45,-0.46,-0.68
91.36,-0.48,-0.69
91.35,-0.47,-0.67
91.2,-0.5,-0.66
91.18,-0.5,-0.65
91.32,-0.3,-0.64
91.24,-0.46,-0.6
91.53,-0.51,-0.63
91.21,-0.4,-0.66
90.97,-0.54,-0.57
90.98,-0.47,-0.58
91.11,-0.44,-0.56
91.14,-0.53,-0.55
91.16,-0.52,-0.55
91.08,-0.52,-0.54
91.14,-0.51,-0.56
91.05,-0.52,-0.54
100.46,-0.53,-0.49
113.49,-0.48,-0.65
127.39,-0.38,-0.87
141.66,-0.35,-0.93
156.25,-0.29,-0.92
170.94,-0.2,-0.89
178.6,-0.19,-0.83
-178.41,-0.17,-0.83
-178.88,-0.07,-0.77
-178.85,-0.11,-0.85
-179.22,-0.38,-0.83
-179.26,-0.26,-0.91
-178.96,-0.31,-0.93
-179.03,-0.3,-0.95
-179.09,-0.09,-0.9
-179.11,-0.32,-0.85
-179.55,-0.21,-0.95
-178.72,-0.2,-0.94
-178.66,-0.19,-0.89
-178.65,-0.19,-0.97
-179.01,-0.17,-0.93
-179.09,-0.15,-0.92
-179.05,-0.14,-0.93
-179.01,-0.12,-0.94
-178.85,0.07,-0.86
-179.29,-0.1,-0.75
-179.49,-0.02,-0.74
-178.98,-0.02,-0.81
-178.88,-0.09,-0.86
-178.93,0.05,-0.86
-178.99,-0.1,-0.87
-178.78,-0.05,-0.92
-178.66,-0.05,-0.92
-179.12,-0.08,-0.94
-179.19,-0.08,-0.96
-179.18,-0.06,-0.94
-179.14,0.12,-0.93
-179.0,0.05,-0.92
-179.23,-0.17,-0.91
-179.3,-0.03,-1.0
-179.25,-0.14,-0.88
-179.74,-0.16,-0.86
-179.29,-0.11,-0.91
-179.17,-0.22,-0.85
-178.95,-0.2,-0.89
-178.99,-0.21,-0.86
-178.95,-0.2,-0.86
-179.07,-0.22,-0.86
-178.02,-0.21,-0.69
-164.8,-0.17,-0.74
-151.38,-0.04,-0.89
-137.3,0.08,-0.97
-122.8,0.12,-0.84
-108.1,0.15,-0.74
-95.09,0.13,-0.6
-89.87,0.14,-0.54
-88.46,0.06,-0.47
-88.39,0.21,-0.44
-88.55,0.14,-0.69
-89.02,0.01,-0.6
-89.08,0.11,-0.63
-89.01,0.04,-0.67
-88.96,0.14,-0.68
-88.95,0.05,-0.59
-88.83,0.07,-0.66
-88.78,0.15,-0.67
-88.91,0.04,-0.56
-88.48,0.16,-0.64
-88.89,0.07,-0.62
-88.94,0.1,-0.62
-88.94,0.09,-0.6
-88.96,0.1,-0.59
-88.96,0.1,-0.58
-88.96,0.09,-0.57
-88.91,0.1,-0.55
-88.55,0.18,-0.53
-88.76,0.04,-0.63
-89.69,0.01,-0.57
-89.21,0.12,-0.57
-88.96,0.06,-0.58
-88.88,0.15,-0.6
-88.8,0.18,-0.59
-88.85,0.1,-0.59
-88.91,0.22,-0.62
-89.02,0.16,-0.57
-88.96,0.17,-0.6
-88.92,0.17,-0.63
-88.91,0.18,-0.63
-88.92,0.19,-0.63
-88.86,0.32,-0.61
-88.53,0.42,-0.59
-89.07,0.15,-0.59
-89.08,0.27,-0.69
-89.1,0.21,-0.62
-88.63,0.11,-0.6
-88.92,0.2,-0.6
-88.9,0.08,-0.64
-89.17,0.14,-0.63
-89.03,0.13,-0.63
-88.94,0.07,-0.61
-88.89,0.1,-0.6
-88.88,0.11,-0.59
-88.89,0.12,-0.58
-88.9,0.13,-0.57
-79.63,0.16,-0.39
-66.6,0.12,-0.44
-52.62,0.16,-0.5
-38.33,0.13,-0.49
-23.69,0.07,-0.43
-8.98,-0.05,-0.31
-1.52,-0.12,-0.26
2.4,-0.11,-0.23
2.91,-0.12,-0.23
2.92,-0.12,-0.23
2.91,-0.12,-0.24
2.92,-0.12,-0.25
2.93,-0.12,-0.25
2.93,-0.12,-0.25
2.96,-0.12,-0.24
2.96,-0.12,-0.24
2.96,-0.12,-0.23
2.96,-0.12,-0.23
2.95,-0.12,-0.22
2.95,-0.12,-0.22
2.95,-0.12,-0.22
2.95,-0.12,-0.23
2.95,-0.12,-0.23
2.95,-0.12,-0.23
2.95,-0.12,-0.22
2.95,-0.12,-0.23
2.95,-0.12,-0.23
2.95,-0.12,-0.23
2.95,-0.12,-0.23
2.95,-0.12,-0.22
2.95,-0.12,-0.23
2.95,-0.12,-0.23
2.96,-0.12,-0.22
2.95,-0.12,-0.23
2.95,-0.12,-0.23
2.95,-0.12,-0.23
2.95,-0.12,-0.23
2.95,-0.12,-0.23
2.95,-0.12,-0.22
2.95,-0.12,-0.22
2.95,-0.12,-0.23
2.95,-0.12,-0.23
2.95,-0.12,-0.23
2.95,-0.12,-0.23
2.95,-0.12,-0.22
2.95,-0.12,-0.22
2.98,-0.04,-0.18
2.92,-0.15,-0.17
2.94,-0.4,-0.27
2.96,-0.35,-0.38
3.0,-0.28,-0.36
3.22,-0.41,-0.33
3.11,-0.29,-0.35
2.75,-0.38,-0.33
2.89,-0.32,-0.37
2.8,-0.37,-0.39
2.82,-0.41,-0.36
2.91,-0.36,-0.39
3.05,-0.42,-0.41
3.09,-0.24,-0.32
3.28,-0.42,-0.35
2.6,-0.64,-0.3
2.79,-0.52,-0.36
3.15,-0.54,-0.37
3.11,-0.48,-0.38
3.16,-0.36,-0.43
3.3,-0.43,-0.4
3.29,-0.36,-0.45
2.63,-0.34,-0.47
2.67,-0.3,-0.49
2.84,-0.28,-0.54
2.93,-0.23,-0.53
3.01,-0.04,-0.42
2.94,-0.22,-0.4
2.67,-0.13,-0.47
2.94,-0.13,-0.51
2.99,-0.27,-0.49
2.96,-0.16,-0.48
2.97,-0.19,-0.51
2.58,-0.23,-0.44
2.98,-0.25,-0.47
3.05,-0.24,-0.46
3.03,-0.23,-0.44
3.03,-0.22,-0.44
12.26,-0.26,-0.37
25.31,-0.22,-0.45
39.21,-0.2,-0.54
53.59,-0.15,-0.57
68.15,-0.17,-0.61
82.83,-0.2,-0.54
90.49,-0.21,-0.57
93.2,-0.32,-0.58
93.13,-0.12,-0.47
93.02,-0.23,-0.64
92.35,-0.33,-0.61
92.38,-0.11,-0.64
92.46,-0.31,-0.62
92.72,-0.22,-0.71
92.54,-0.15,-0.66
92.08,-0.21,-0.72
92.7,-0.21,-0.69
92.6,-0.26,-0.68
92.76,-0.2,-0.7
92.57,-0.21,-0.68
92.55,-0.21,-0.67
92.55,-0.24,-0.67
92.62,-0.23,-0.67
92.93,-0.05,-0.62
92.63,-0.24,-0.63
92.42,-0.35,-0.64
92.54,-0.15,-0.57
92.49,-0.4,-0.51
92.68,-0.31,-0.6
92.48,-0.3,-0.67
92.48,-0.4,-0.57
92.26,-0.32,-0.65
92.81,-0.35,-0.68
92.7,-0.3,-0.64
92.65,-0.31,-0.66
92.69,-0.3,-0.71
92.83,-0.13,-0.67
92.8,-0.32,-0.61
92.48,-0.37,-0.61
92.56,-0.2,-0.58
92.59,-0.4,-0.58
92.42,-0.34,-0.62
92.81,-0.26,-0.58
92.53,-0.39,-0.53
92.51,-0.32,-0.6
92.68,-0.33,-0.59
92.76,-0.34,-0.57
92.8,-0.34,-0.57
104.94,-0.35,-0.55
117.98,-0.26,-0.7
124.9,-0.18,-0.8
146.24,-0.07,-0.84
160.89,-0.07,-0.81
175.06,-0.06,-0.76
-178.69,-0.04,-0.69
-177.52,-0.1,-0.6
-177.96,0.07,-0.56
-177.26,-0.14,-0.79
-177.7,-0.19,-0.76
-177.57,-0.07,-0.78
-177.38,-0.2,-0.76
-177.51,-0.1,-0.82
-177.49,-0.05,-0.76
-177.85,-0.18,-0.71
-177.81,-0.11,-0.83
-177.41,-0.11,-0.74
-177.27,-0.09,-0.78
-177.03,-0.1,-0.8
-177.48,-0.09,-0.77
-177.39,-0.06,-0.78
-177.59,-0.08,-0.82
-177.41,0.11,-0.75
-177.4,0.06,-0.75
-177.68,0.03,-0.68
-177.67,0.23,-0.72
-177.77,0.07,-0.74
-178.43,0.09,-0.76
-177.61,0.14,-0.81
-177.49,0.03,-0.76
-177.58,0.11,-0.82
-177.61,0.09,-0.82
-177.52,0.11,-0.84
-177.41,0.12,-0.89
-177.41,0.14,-0.89
-177.14,0.27,-0.83
-177.19,0.1,-0.85
-177.07,-0.01,-0.83
-177.56,0.06,-0.87
-177.56,-0.02,-0.86
-177.63,0.02,-0.9
-177.52,0.05,-0.84
-177.55,-0.12,-0.87
-177.58,-0.07,-0.85
-176.98,-0.04,-0.84
-177.06,-0.07,-0.88
-177.29,-0.07,-0.88
-172.32,-0.03,-0.69
-152.28,0.12,-0.81
-138.28,0.18,-0.79
-123.86,0.25,-0.73
-109.15,0.25,-0.62
-101.84,0.22,-0.52
-88.77,0.19,-0.42
-87.14,0.13,-0.31
-87.17,0.31,-0.3
-87.34,0.16,-0.49
-87.79,0.06,-0.47
-87.99,0.22,-0.57
-87.86,0.07,-0.54
-87.63,0.12,-0.62
-87.72,0.18,-0.48
-87.86,0.06,-0.52
-87.77,0.21,-0.54
-87.78,0.11,-0.5
-87.24,0.11,-0.52
-87.73,0.1,-0.52
-87.78,0.07,-0.51
-87.68,0.09,-0.52
-87.59,0.1,-0.52
-87.57,0.11,-0.52
-87.58,0.11,-0.52
-87.52,0.13,-0.51
-87.08,0.29,-0.53
-87.51,0.16,-0.57
-87.82,-0.03,-0.52
-87.78,0.15,-0.52
-87.73,0.1,-0.53
-87.65,0.16,-0.57
-87.57,0.23,-0.61
-87.59,0.15,-0.55
-87.67,0.21,-0.63
-87.62,0.2,-0.62
-87.52,0.24,-0.64
-87.49,0.24,-0.66
-87.49,0.25,-0.67
-87.56,0.31,-0.7
-87.15,0.46,-0.64
-87.54,0.19,-0.62
-87.6,0.3,-0.71
-87.58,0.29,-0.62
-87.76,0.21,-0.58
-87.65,0.29,-0.67
-87.5,0.25,-0.61
-87.1,0.21,-0.62
-87.54,0.26,-0.63
-87.74,0.24,-0.59
-87.71,0.23,-0.61
-87.54,0.24,-0.63
-87.47,0.24,-0.63
-86.98,0.2,-0.6
-74.25,0.24,-0.47
-61.05,0.29,-0.52
-46.95,0.29,-0.52
-32.51,0.24,-0.44
-17.89,0.16,-0.34
-1.07,-0.01,-0.19
3.26,0.01,-0.12
3.9,-0.01,-0.12
3.93,-0.01,-0.12
3.92,-0.01,-0.12
3.92,-0.02,-0.11
3.92,-0.02,-0.11
3.92,-0.02,-0.1
3.92,-0.02,-0.1
3.93,-0.02,-0.1
3.93,-0.01,-0.1
3.93,-0.0,-0.1
3.93,0.0,-0.11
3.93,0.0,-0.11
3.93,0.0,-0.11
3.93,0.0,-0.11
3.93,0.0,-0.11
3.93,0.0,-0.11
3.93,0.0,-0.11
3.93,0.0,-0.11
3.93,0.0,-0.11
3.93,0.0,-0.11
3.93,-0.0,-0.11
3.93,-0.0,-0.11
3.93,0.0,-0.11
3.93,-0.0,-0.11
3.93,0.0,-0.11
3.93,0.0,-0.12
3.93,0.0,-0.12
3.93,-0.0,-0.11
3.93,0.0,-0.12
3.93,0.0,-0.11
3.93,0.0,-0.11
3.93,0.0,-0.11
3.94,0.0,-0.11
3.93,0.0,-0.12
3.93,0.0,-0.11
3.93,0.0,-0.12
3.93,0.0,-0.12
